硬碰硬	aaaf
擔着	fhqw
撓着	fhqw
攙着	fhqw
死命	fhra
掛懷	fhrc
死人	fhre
換人	fhre
持人	fhre
亞運會	fhrf
列兵	fhrf
拍賣會	fhrf
殉情	fhrh
擔心	fhri
死心	fhri
掛心	fhri
掛念	fhrk
一表人才	fhrk
歹念	fhrk
持倉	fhrk
烈馬	fhrm
探馬	fhrm
一聲令下	fhrx
烈性	fhry
換藥	fhsd
掛花	fhse
掛靴	fhse
探花	fhse
殘荷	fhse
亞熱帶	fhsf
殯葬	fhsf
殉難	fhsf
死難	fhsf
殉葬	fhsf
換鞋	fhsh
掛著	fhsh
揮著	fhsh
攙著	fhsh
擔著	fhsh
撓著	fhsh
擔架	fhsl
死力	fhsl
掛架	fhsl
殘殺	fhsu
擷英	fhsy
打地鋪	fhta
掛鏈	fhtb
天外飛仙	fhte
掛鐘	fhtg
探針	fhtg
掛錶	fhth
換錢	fhtk
死錢	fhtk
掛鎖	fhto
死鎖	fhto
掛鉤	fhtw
掛鈎	fhtw
擡槓	fhui
探查	fhuj
探疑	fhuj
亞運村	fhuk
持械	fhuk
看起來	fhul
換來	fhul
撿起來	fhul
推土機	fhun
掛機	fhun
死機	fhun
殘根	fhun
換樣	fhuq
列入	fhur
持槍	fhur
死板	fhur
死於非命	fhur
探析	fhur
拷入	fhur
掛板	fhur
換槍	fhur
掛上	fhus
換上	fhus
一起上	fhus
掛麪	fhut
死麪	fhut
掛麵	fhut
死麵	fhut
死棋	fhuu
換檔	fhuv
掛檔	fhuv
死期	fhuw
死相	fhuw
探杆	fhuy
一觸即發	fhvb
殆盡	fhvf
掛畫	fhvh
探尋	fhvi
一觸即潰	fhvn
形象思維	fhvo
掛累	fhvo
擔當	fhvv
死黨	fhvv
拷貝	fhwb
擡腳	fhwk
挽具	fhwk
持股	fhwl
換股	fhwl
擡腿	fhwn
擡眼	fhwn
死胎	fhwn
掛勾	fhwn
掛賬	fhwp
探勝	fhwq
換購	fhws
殘敗	fhwt
死盯	fhwx
殘月	fhwy
持證	fhxb
換證	fhxb
探訪	fhxh
殘骸	fhxh
探討	fhxk
探試	fhxk
換歌	fhxl
裂變	fhxo
換過	fhxo
持論	fhxr
死訊	fhxt
探詢	fhxw
換下	fhxx
殘體	fhxy
揮霍	fhye
掛靠	fhyl
死靈	fhyl
持平	fhyq
掛零	fhyr
殘生	fhys
死生	fhys
殘雪	fhyv
探物	fhyw
殘酷	fhyy
一竅不通	fiab
擦破	fiab
一磅	fiac
一貫	fiag
一碗	fiai
按壓	fiaj
一百	fiaj
天有不測風雲人有旦夕禍福	fiaj
一歲	fiak
挖礦	fiam
一字不漏	fian
一步	fiao
一碟	fias
一字不苟	fias
一路	fiat
一些	fiau
按此	fiau
一頁	fiaw
天有不測風雲	fiay
一發	fibb
一擊	fibd
一輛	fibf
一屆	fibh
手工費	fibk
接二連三	fibl
一連	fibo
一張	fibp
一層	fibq
一輪	fibr
一通	fibs
一展	fibs
控申	fibs
一局	fibt
挖補	fica
一怒	ficb
抖顫	ficd
一夜	fice
拔高	ficg
一户	fich
一如	ficl
擦亮	ficl
挖到	ficm
擯棄	ficn
一市	ficp
一齊	ficq
一旁	ficq
一致	fict
一畝	ficv
擦肩	ficw
一姐	ficw
一遍	ficy
一團	fidb
一舉	fidd
拔出	fidd
挖出	fidd
抖出	fidd
一出	fidd
一艘	fidd
一開	fidf
天姿國色	fidh
天安門廣場	fidh
一戶	fidh
一行	fidj
一間	fidj
一般	fidl
一回	fidl
控盤	fidl
一盤	fidl
天安門	fidm
一門	fidm
一關	fidn
一片	fidp
死灰復燃	fidq
一圈	fidq
看守所	fidr
一所	fidr
一閃	fidr
一覺	fids
一律	fidv
一向	fidx
一隻	fieb
一邊倒	fiec
按倒	fiec
挺身而出	fied
一個	fied
一雙	fiee
打躬作揖	fief
一例	fief
擦傷	fieg
一位	fieg
一倍	fieg
拍案而起	fieh
一代	fiek
打工仔	fiek
按住	fiek
一份	fiek
一袋	fiek
挨凍受餓	fiek
拔份	fiek
一段	fiel
一面	fiem
一併	fieq
一改	fiet
一條	fieu
一朶	fieu
一側	fiew
一件	fiey
控件	fiey
挖掘	fifb
攛掇	fifb
挨家挨户	fifc
一捆	fifd
挨家挨戶	fifd
一把	fife
惡有惡報	fifh
一列	fifh
一揮	fifh
按揭	fifj
擦拭	fifk
一頭	fifl
抖擻	fifl
抖摟	fifl
一副	fifl
一元	fifl
捨身求法	fifn
一抹	fifn
擦抹	fifn
按捺	fifo
一天	fifo
拔掉	fifp
擦掉	fifp
一兩	fifp
控拆	fifr
一手	fifs
五邊形	fifs
擦手	fifs
一批	fifu
一排	fifu
一字一板	fifu
一字一句	fifw
五斗折腰	fifw
亞塞拜然	fifw
摇身一變	fifx
一打	fifx
搖身一變	fifx
一再	fify
一支	figb
一篇	figc
元宵節	figd
拔節	figd
一節	figd
一瓣	fige
一等	figh
控管	figi
一管	figi
一十	figi
一朝	figj
擦乾	figj
一年	figj
擦音	figj
一截	figk
天字第一號	figl
一部	figl
一系	figo
一端	figp
一番	figq
一氣	figq
一簽	figr
一無	figs
一新	figu
元宵節	figv
拔節	figv
一節	figv
一直	figw
一聲	fihb
挖坑	fihc
一表	fihc
一塊	fihd
一起	fihe
一色	fihe
一堆	fihe
一文	fihe
一方	fihf
挖方	fihf
打邊鼓	fihg
挖墳	fihg
一幫	fihh
一封	fihh
天寒地凍	fihi
投資者	fihj
一款	fihj
一場	fihj
打工者	fihj
挖地	fihj
一臺	fihl
一名	fihl
一刻	fihm
擦去	fihn
一去	fihn
一家老小	fiho
打家劫舍	fihr
一角	fihs
挖角	fihs
挖土	fiht
一趟	fihv
一身都是膽	fihw
挖走	fihz
一項	fiia
元宇宙	fiib
一窮二白	fiid
擦寫	fiid
一二	fiie
一宿	fiie
一身二任	fiie
一定	fiif
一家	fiig
一審	fiig
一家家	fiig
一次	fiih
一邊	fiii
擦邊	fiii
一字	fiik
一丈	fiik
挖井	fiik
惡狠狠	fiin
一身	fiis
擦身	fiis
拔身	fiis
看家狗	fiiw
一有	fiiw
一窩	fiix
拔牙	fija
擰緊	fijb
一克	fijd
擦邊球	fijf
一旦	fijf
控球	fijf
一定是	fijf
一覽	fijg
一時	fijh
按時	fijh
一斑	fijh
一晚	fijh
按照	fijm
一晃	fijo
一環	fijp
一日	fijr
一罐	fijs
一夥	fiju
一顆	fiju
按理	fijv
一身是膽	fijw
一早	fijz
一寸	fikc
一鼻孔出氣	fikg
一響	fikg
按響	fikg
一鼻子灰	fiki
一式	fiki
死有餘辜	fikj
一盞	fikk
一事	fikl
一分	fikm
一家子	fikz
拔取	filb
挖取	filb
一號	fild
一匹	file
一數	filg
一吹	filh
一聽	filj
一品	fill
一味	filn
拍案叫絶	filo
拍案叫絕	filo
一别	fils
一二三	fils
一朵	filu
一口	filv
打字員	filw
一員	filw
一別	filw
一噸	filx
拔刀	fimd
按摩	fimf
一科	fimi
按季	fimk
一季	fimk
按序	fimk
一種	fimm
擦痕	fimn
一秒	fimo
一千	fimq
一座	fimr
一度	fims
一字千金	fimt
抖動	fimv
一動	fimv
按動	fimv
一流	finc
一滴	finc
控流	finc
一身清白	find
一準	fine
挖潛	finj
一溜	fink
擦澡	finl
一台	finl
扛活	finm
一派	finr
一灘	fins
拔河	finx
擦洗	finy
擦汗	finy
一潭	finy
一統	fioc
一線	fiod
一字之師	fiod
一級	fioe
一維	fioe
一經	fiof
一省	fiog
一紙	fiok
一縷	fiol
拔尖	fioo
一定之規	fioo
拔絲	fioo
一絲	fioo
一套	fiop
一組	fiow
一家之言	fiox
擦網	fioy
一陣	fipb
一幅	fipf
一餐	fiph
一院	fipi
一桌	fipj
一隊	fipq
拔除	fipr
擯除	fipr
擦除	fipr
一處	fipt
一隅	fipv
一粒	fiqg
一道	fiqi
一類	fiqi
按類	fiqi
一半	fiqj
一官半職	fiql
一米	fiqm
一瞥	fiqp
拔營	fiqq
一瓶	fiqs
挖煤	fiqs
擦背	fiqu
按着	fiqw
一炮	fiqw
控煙	fiqy
一家人	fire
投資人	fire
一人	fire
一會	firf
一心	firi
一斤	firj
一介	firk
一愣	firp
一盒	firp
挖空心思	firv
一次性	firy
擦藥	fisd
一帶	fisf
亞寒帶	fisf
手工藝	fish
擦鞋	fish
按著	fish
一世	fisi
挖苦	fisj
一幕	fisj
拔草	fisj
一共	fisk
拖家帶口	fisl
拉家帶口	fisl
手工藝品	fisl
抖落	fisn
一夢	fisp
一萬	fisv
打官司	fitf
按金	fitj
按鈴	fitr
拔錨	fits
按鈕	fitv
按鍵	fitv
一杯	fiua
一輩	fiub
一槪	fiud
一本	fiuf
一枝	fiug
更有甚者	fiuh
一棵	fiuj
一來	fiul
一樓	fiul
打字機	fiun
一根	fiun
一樁	fiuo
一樣	fiuq
手工業	fiuq
一對	fiuq
看家本領	fiur
一槍	fiur
扛槍	fiur
手寫板	fiur
拔槍	fiur
按上	fius
列寧格勒	fius
挖槽	fius
一枚	fiut
一棟	fiuu
一檔	fiuv
一概	fiuv
按期	fiuw
一想	fiuw
一株	fiuy
一群	fivg
拔群	fivg
一羣	fivg
拔羣	fivg
一堂	fivh
一息尚存	fivi
拉家常	fivp
一點	fivp
一窩蜂	fivt
扛鼎	fiwd
一瞬	fiwe
一週	fiwh
一睹	fiwh
打官腔	fiwi
一腔	fiwi
一見	fiwj
拔腳	fiwk
按脉	fiwk
一腳	fiwk
一具	fiwk
控股	fiwl
一句	fiwl
一股	fiwl
一則	fiwm
一眼	fiwn
拔腿	fiwn
一胎	fiwn
一臉	fiwr
擦臉	fiwr
按脈	fiwr
一册	fiww
一月	fiwy
按月	fiwy
投井下石	fixa
一頂	fixa
一頓	fixd
按語	fixf
一語	fixf
按說	fixk
一說	fixk
一切	fixm
一變	fixo
按説	fixq
一説	fixq
控訴	fixr
形容詞	fixt
一詞	fixt
一下	fixx
按下	fixx
拔下	fixx
一體	fixy
手寫體	fixy
一言	fixy
一定要	fiyc
一冊	fiyc
看守内閣	fiyd
看守內閣	fiyd
按需	fiye
一同	fiyf
一干	fiyg
一霎	fiyg
捷安特	fiyh
控告	fiyl
一震	fiyn
一平	fiyq
一生	fiys
一曲	fiys
控制	fiyy
融匯貫通	fjab
捏碎	fjac
殘暴不仁	fjae
形影不離	fjah
一臥不起	fjah
一卧不起	fjah
天理不容	fjai
殘缺不全	fjar
拒不	fjau
更不	fjau
再也不	fjau
提些	fjau
一日不見	fjaw
揭發	fjbb
提挈	fjbm
更強	fjbn
更張	fjbp
揚眉	fjbw
更衣	fjcc
提高	fjcg
更高	fjcg
提交	fjck
提婚	fjck
更好	fjck
拒婚	fjck
提到	fjcm
揚棄	fjcn
更始	fjcn
捍衛	fjdb
捍衞	fjdb
揭牌	fjdd
提出	fjdd
揭開	fjdf
攝影師	fjdf
捍禦	fjdg
一時間	fjdj
天曉得	fjdj
提行	fjdj
提問	fjdl
摳圖	fjdl
正視圖	fjdl
摳門	fjdm
一時衝動	fjdm
求神問卜	fjdp
拒收	fjdt
更像	fjeh
提倡	fjej
更爲	fjek
提及	fjek
拒付	fjek
更低	fjek
提供	fjes
更改	fjet
提貨	fjeu
提價	fjey
更正	fjfa
拒捕	fjfa
捏握	fjfb
拒接	fjfg
更換	fjfh
一時一刻	fjfh
提拔	fjfi
列祖列宗	fjfi
一是一二是二	fjfi
捏捏	fjfj
揚揚	fjfj
提振	fjfn
提攜	fjfp
尷尬	fjfr
揚手	fjfs
提手	fjfs
揭批	fjfu
提押	fjfv
一匡天下	fjfx
提示符	fjge
一曝十寒	fjgi
提幹	fjgj
提籃	fjgj
更年	fjgj
一覽無餘	fjgk
拒載	fjgk
一覽無遺	fjgl
更迭	fjgo
更番	fjgq
拒籤	fjgr
提升	fjgs
更新	fjgu
提親	fjgu
提箱	fjgu
提筆	fjgv
披星戴月	fjgw
一覽表	fjhc
更壞	fjhc
提起	fjhe
揚起	fjhe
揭起	fjhe
拉祜族	fjhg
一日遊	fjhg
更多	fjhh
提款	fjhj
天王老子	fjhk
一神教	fjhk
提名	fjhl
更名	fjhl
揚名	fjhl
更遠	fjhl
天時地利	fjhm
天時地利人和	fjhm
揭去	fjhn
披堅執鋭	fjht
披堅執銳	fjht
更趨	fjhw
提案	fjic
更定	fjif
提審	fjig
攬工	fjig
攝影家	fjig
揭穿	fjij
按時完成	fjik
揭密	fjir
攬客	fjit
提額	fjit
五短身材	fjiu
摳鼻	fjiv
更有	fjiw
提神	fjjb
更緊	fjjb
捏緊	fjjb
五福臨門	fjjd
揭短	fjjf
更是	fjjf
更短	fjjf
揭曉	fjjh
提琴	fjjj
揚琴	fjjj
更顯	fjjn
揭祕	fjjr
揭示	fjjs
提示	fjjs
搬弄是非	fjju
一顆顆	fjju
更易	fjjw
提現	fjjw
提早	fjjz
更早	fjjz
揚威	fjkf
撒克遜	fjkg
更為	fjkk
提成	fjkt
提留	fjkv
提子	fjkz
揚子	fjkz
提取	fjlb
抗日戰爭	fjle
提職	fjlg
一時三刻	fjlh
提單	fjll
一日三秋	fjlm
一日三省	fjlo
一日三餐	fjlp
更應	fjme
揚塵	fjmh
捏積	fjmh
更移	fjmh
揭底	fjmk
揚程	fjml
揭秘	fjmr
一日千里	fjmv
更動	fjmv
提法	fjnh
更深	fjnh
亙古未有	fjni
提溜	fjnk
揚州	fjnl
攬活	fjnm
提灌	fjns
更能	fjnw
更大	fjod
拒繳	fjod
一日夫妻百日恩	fjod
提級	fjoe
五星級	fjoe
更少	fjog
拒絶	fjoh
五星紅旗	fjoh
招賢納士	fjoh
拒絕	fjom
更替	fjoo
提純	fjox
更小	fjox
提綱	fjoy
更長	fjpc
揚劇	fjpg
提防	fjph
揭陽	fjpj
揚帆	fjpl
揭帖	fjpp
探照燈	fjqb
指示燈	fjqb
提燈	fjqb
一知半解	fjqh
一時半刻	fjqh
更差	fjqi
更美	fjqo
一時半會	fjqr
更糟	fjqs
提煉	fjqu
一星半點	fjqv
提前	fjqw
提着	fjqw
更快	fjrb
更怕	fjrd
接班人	fjre
更會	fjrf
撮合	fjrh
拒斥	fjrk
更近	fjro
揚鞭	fjse
據理力爭	fjse
提花	fjse
更難	fjsf
提著	fjsh
天理難容	fjsi
揭幕	fjsj
更加	fjsl
求賢若渴	fjsn
一日萬里	fjsv
提錢	fjtk
形影相弔	fjub
揭榜	fjuc
更甚	fjue
焉知非福	fjuj
提速	fjul
攝影機	fjun
提督	fjuo
形影相隨	fjup
攬入	fjur
攬權	fjus
提檔	fjuv
更累	fjvo
提點	fjvp
副祕書長	fjvp
武昌魚	fjvv
提包	fjwe
拒賠	fjwg
拒賄	fjwi
更具	fjwk
攬勝	fjwq
頭暈眼花	fjws
頭暈目眩	fjww
攬月	fjwy
更讓	fjxc
指日可待	fjxd
提請	fjxh
按理說	fjxk
提過	fjxo
提議	fjxq
按理説	fjxq
提詞	fjxt
提訊	fjxt
揚言	fjxy
揭露	fjya
提要	fjyc
更要	fjyc
揭醜	fjyd
一視同仁	fjye
更需	fjye
提醒	fjyj
甦醒	fjyj
捏造	fjyl
更生	fjys
提製	fjyy
揉碎	fkac
抑止	fkai
一了百了	fkak
天公不作美	fkaq
找些	fkau
找碴	fkau
一了百當	fkav
一成不變	fkax
抒發	fkbb
找轍	fkbc
五子登科	fkbm
一分耕耘一分收穫	fkbm
扒皮	fkbp
找補	fkca
抵補	fkca
找到	fkcm
一貧如洗	fkcn
找齊	fkcq
找遍	fkcy
武鬥	fkdd
找出	fkdd
武舉	fkdd
掰開	fkdf
武師	fkdf
扒開	fkdf
抵禦	fkdg
武裝	fkdh
扮裝	fkdh
互為因果	fkdj
迂迴	fkdl
找回	fkdl
爾後	fkdn
迂闊	fkdn
正式版	fkdr
武學	fkds
武術	fkdu
武將	fkdw
逼良爲娼	fkec
抵債	fkeh
扮像	fkeh
一分爲二	fkei
據為己有	fkei
擇主而事	fkek
副主任	fkem
武俠	fkeo
武備	fkes
抵償	fkev
找抽	fkfb
抵抗	fkfc
打成一片	fkfd
抱成一團	fkfd
一式兩份	fkfe
扒拉	fkfg
武技	fkfg
找死	fkfh
抵死	fkfh
拭擦	fkfi
揉捏	fkfj
揉揉	fkfk
找找	fkfk
抵扣	fkfl
揉搓	fkfq
扒手	fkfs
抵押	fkfv
抵擋	fkfv
看了看	fkfw
武打	fkfx
融為一體	fkfx
爾等	fkgh
打主意	fkgj
一事無成	fkgk
互為表裏	fkhc
互為表裡	fkhc
天昏地暗	fkhj
天主教	fkhk
抵免	fkhl
拭去	fkhn
抵達	fkhq
天公地道	fkhq
迂執	fkhq
武士	fkhs
扮靚	fkhw
刑事犯	fkia
武官	fkib
抒寫	fkid
扒竊	fkig
正式工	fkig
武魂	fkin
扒灰	fkiq
武寧	fkir
武功	fkis
武穴	fkix
武神	fkjb
爾雅	fkje
武旦	fkjf
抑是	fkjf
武昌	fkjj
逼良為娼	fkkc
武威	fkkf
一分為二	fkki
抑或	fkkl
找事	fkkl
找岔	fkkm
形式主義	fkkq
揉成	fkkt
扮成	fkkt
爾耳	fkle
武職	fklg
抵數	fklg
武器	fkll
武聖	fkll
武庫	fkmb
迂腐	fkme
找病	fkmf
攝氏度	fkms
副主席	fkms
武廣	fkms
撼動	fkmv
拭淚	fknc
找準	fkne
扮演	fkni
武斷	fknn
抵消	fkno
武漢	fkns
武夷	fkob
武大	fkod
迂緩	fkoe
武夫	fkof
打印紙	fkok
列印紙	fkok
一寸光陰一寸金	fkot
一孔之見	fkow
抵還	fkpf
扮戲	fkpf
武陵	fkph
政務院	fkpi
武隆	fkpt
抵罪	fkpu
扒糕	fkqq
拄着	fkqw
抒懷	fkrc
找人	fkre
武后	fkrf
抒情	fkrh
揉合	fkrh
抑菌	fksd
武藝	fksh
拄著	fksh
找茬	fksi
拔了蘿蔔地皮寬	fksi
爾曹	fksj
武力	fksl
招事惹非	fksu
抑殺	fksu
武警	fksw
一分鐘	fktg
找錢	fktk
抵銷	fkto
抑鬱	fkuj
武松	fkuk
抵賴	fkul
找來	fkul
邇來	fkul
打印機	fkun
爾格	fkut
武林	fkuu
五子棋	fkuu
扮相	fkuw
找尋	fkvi
武當	fkvv
于丹	fkwc
找贖	fkwh
一飽眼福	fkwj
損公肥私	fkwm
盂縣	fkwo
抵賬	fkwp
頭昏眼花	fkws
頭昏腦脹	fkww
找誰	fkxe
于謙	fkxq
找平	fkyq
找零	fkyr
武生	fkys
迂曲	fkys
抑制	fkyy
抵制	fkyy
扮酷	fkyy
頭雁	flae
扣壓	flaj
一呼百應	flam
逼仄	flar
頑石	flas
投石	flas
扣發	flbb
接三連四	flbd
損耗	flbk
扣費	flbk
投彈	flbl
頭臂	flbl
頭尾	flbm
頑強	flbn
頭屑	flbo
頑皮	flbp
頭皮	flbp
投屏	flbq
融通	flbs
副局	flbt
豆奶	flce
副高	flcg
拾遺補缺	flcj
逼婚	flck
頭婚	flck
投到	flcm
捐棄	flcn
勁敵	flcq
投敵	flcq
排風扇	flcv
勁兒	fldd
頭兒	fldd
頭牌	fldd
捐出	fldd
扣兒	fldd
投師	fldf
損毀	fldh
損毁	fldi
頑固	fldj
操行	fldj
逼得	fldj
投行	fldj
逼問	fldl
操盤	fldl
逗樂	fldn
逼迫	fldo
元帥	fldp
頭版	fldr
頭銜	fldt
技戰術	fldu
排中律	fldv
豆漿	fldw
頭奬	fldw
頭獎	fldw
投向	fldx
看風使舵	fled
操作	fleg
損傷	fleg
頭像	fleh
攝像	fleh
一哄而起	fleh
逼債	fleh
打嘴仗	flei
頭伏	flei
豆乳	flek
元代	flek
扣住	flek
摟住	flek
融爲	flek
投以	flek
投保	flel
頭面	flem
拐進	fleo
一吐爲快	fler
五味俱全	fler
逼供	fles
融化	fleu
一哄而上	fleu
頭彩	fleu
頭條	fleu
勁健	flev
掛號信	flex
求職信	flex
元件	fley
元器件	fley
扣件	fley
攝政	flfa
頑抗	flfc
再三再四	flfd
挑三揀四	flfd
撒哈拉	flfg
操持	flfh
逼死	flfh
勁烈	flfh
操控	flfi
捕風捉影	flfj
勁頭	flfl
融融	flfl
豌豆	flfl
頭頭	flfl
頭頸	flfl
豆豆	flfl
扣扣	flfl
逗逼	flfl
一唱一和	flfm
損招	flfm
頭天	flfo
扣掉	flfp
投擲	flfq
招風攬火	flfq
揶揄	flfr
逼搶	flfr
副手	flfs
投手	flfs
頭型	flfs
扣押	flfv
摟抱	flfw
抓耳撓腮	flfw
豆瓣	flge
頭箍	flgf
投産	flgg
頭等	flgh
頭籌	flgh
副管	flgi
元年	flgj
元朝	flgj
投籃	flgj
元音	flgj
扣籃	flgj
頭戴	flgk
頭部	flgl
頸部	flgl
逗笑	flgm
損失	flgo
捐血	flgp
一口氣	flgq
元氣	flgq
操辦	flgs
勁舞	flgs
勁升	flgs
頑童	flgv
逼真	flgw
投毒	flha
投產	flha
投軍	flhb
損壞	flhc
投考	flhd
操起	flhe
勁旅	flhg
捐款	flhj
操場	flhj
求職者	flhj
扣款	flhj
扣去	flhn
掀風鼓浪	flhn
元素	flho
拐賣	flhp
打哈欠	flhq
拐角	flhs
融解	flhs
頭角	flhs
豆角	flhs
投放	flht
元老	flhu
逼急	flhv
頸項	flia
損害	flib
副官	flib
損友	flib
投案	flic
投宿	flie
摟定	flif
投資	flih
融資	flih
捐資	flih
元寶	flij
捐軀	flij
操守	flik
投射	flik
勁射	flik
投井	flik
逼宮	flil
元宵	flio
投寄	flio
頭盔	fliq
投身	flis
頭功	flis
揖客	flit
投在	fliu
摟在	fliu
逕自	fliz
扣緊	fljb
元神	fljb
操神	fljb
攝影	fljc
投影	fljc
形單影隻	flje
元旦	fljf
吞吐量	fljf
頭球	fljf
扣球	fljf
副題	fljf
扣題	fljf
投球	fljf
勁量	fljf
頭暈	fljh
頭晚	fljh
手風琴	fljj
投醫	fljj
融匯	fljn
攝理	fljv
副理	fljv
逼視	fljw
投映	fljy
頭寸	flkc
投了	flke
頭飾	flkg
頭式	flki
融為	flkk
扣分	flkm
一吐為快	flkr
副食	flks
攝食	flks
逗留	flkv
扣留	flkv
頭昏	flkx
攝氏	flkx
兩口子	flkz
頭子	flkz
豆子	flkz
撣子	flkz
捅婁子	flkz
攝取	fllb
頭號	flld
逗號	flld
勁風	fllf
攢三聚五	fllf
副職	fllg
勁吹	fllh
一口咬定	flli
一唱三嘆	flll
逗哏	flln
一口吸盡西江水	flln
打哈哈	fllr
揖别	flls
一朵朵	fllu
打呼嚕	fllv
指戰員	fllw
揖別	fllw
頭痛	flmb
投稿	flmc
操刀	flmd
豆腐	flme
頑症	flmf
副科	flmi
頑疾	flmj
捐稅	flmk
逼和	flml
副廳	flml
武器店	flmp
捐税	flmq
頭疼	flmt
元勳	flmv
扣動	flmv
豆油	flnb
頭油	flnb
豆汁	flng
操演	flni
投江	flni
扣減	flnk
投注	flnk
接風洗塵	flnm
吏治	flnn
豆沙	flno
融洽	flnr
掩耳盜鈴	flnt
豆渣	flnu
投河	flnx
投緣	floa
豆綠	floa
頭繩	flob
操縱	flod
副總	flod
扣繳	flod
頭大	flod
投奔	flog
頑劣	flog
頭緒	floh
一品紅	floi
投繯	flop
操練	flou
互聯網	floy
推三阻四	flpd
捐獻	flpf
頭髮	flpi
頭陀	flpi
頭巾	flpj
扣除	flpr
投降	flpt
副處	flpt
頭顱	flpv
把兄弟	flqb
豆粕	flqd
豆粒	flqg
元首	flqi
投料	flqi
豆類	flqi
勁道	flqi
勁爆	flqj
損益	flqk
豆粉	flqk
投送	flqo
投幣	flqp
操勞	flqq
頭前	flqw
摟着	flqw
逼着	flqw
頭炮	flqw
操着	flqw
拐騙	flrc
逼人	flre
損人	flre
融會	flrf
招聘會	flrf
融合	flrh
投合	flrh
操心	flri
天災人禍	flrj
頭領	flrk
逼近	flro
投遞	flrp
挑戰性	flry
元兇	flsd
豆花	flse
拐帶	flsf
逼著	flsh
操著	flsh
摟著	flsh
豆蔻	flsi
豆芽	flsj
勁草	flsj
招災惹禍	flsj
勁力	flsl
豆莢	flso
一鳴驚人	flsr
扣殺	flsu
豆苗	flsv
攝錄	flta
操蛋	flta
捐錢	fltk
頑鈍	fltx
挑戰杯	flua
頸椎	flue
副本	fluf
投來	flul
投機	flun
副業	fluq
投入	flur
融入	flur
攝入	flur
頭上	flus
扣上	flus
豆麪	flut
豆麵	flut
投檔	fluv
投標	fluy
拐棗	fluy
挑戰書	flvh
扣劃	flvh
捐建	flvj
拐點	flvp
副翼	flvv
豆包	flwe
頸脖	flwg
頭腦	flwl
頭目	flwm
投胎	flwn
逼眼	flwn
捐贈	flwq
頭臉	flwr
捐助	flws
元月	flwy
頭頂	flxa
揖讓	flxc
頭骨	flxg
投誠	flxk
勁歌	flxl
副歌	flxl
操切	flxm
拐彎	flxo
投訴	flxr
正中下懷	flxr
副詞	flxt
投下	flxx
扣下	flxx
元配	flye
投票	flyj
投靠	flyl
副刊	flym
扣肉	flyr
元曲	flys
頭生	flys
攝生	flys
操典	flys
勁霸	flys
融雪	flyv
捐物	flyw
提取物	flyw
攝製	flyy
一毛不拔	fmaf
一病不起	fmah
一動不如一靜	fmah
一動不動	fmam
一塵不染	fman
插頁	fmaw
插足	fmaz
括弧	fmbe
擴張	fmbp
豆腐皮	fmbp
插屏	fmbq
擴展	fmbs
招展	fmbs
亞利桑那	fmbt
招引	fmbu
挺好	fmck
打底褲	fmcm
擴充	fmcn
招商	fmcq
招致	fmct
招嫖	fmcy
招牌	fmdd
挺舉	fmdd
撬開	fmdf
擴徵	fmdf
招待	fmdh
天香國色	fmdh
招行	fmdj
插圖	fmdl
撬門	fmdm
惡魔島	fmdp
插片	fmdp
招收	fmdt
招徠	fmdu
打麻將	fmdw
插值	fmeg
挺像	fmeh
豆腐乳	fmek
挺住	fmek
揪住	fmek
挺進	fmeo
插進	fmeo
一應俱全	fmer
指鹿爲馬	fmer
招供	fmes
插條	fmeu
插件	fmey
掂掇	fmfb
招摇	fmfe
一瘸一拐	fmff
招撫	fmfg
插播	fmfg
挺拔	fmfi
插拔	fmfi
招攬	fmfj
插頭	fmfl
擴招	fmfm
一忍再忍	fmfm
披毛求疵	fmfm
一刀兩斷	fmfn
一府兩院	fmfp
招手	fmfs
插手	fmfs
插排	fmfu
招搖	fmfw
插科打諢	fmfx
披麻戴孝	fmgh
豆腐乾	fmgj
招幹	fmgj
擴音	fmgj
五千年	fmgj
挺立	fmgl
招辦	fmgs
招親	fmgu
挺直	fmgw
政府軍	fmhb
擴軍	fmhb
招考	fmhd
挺起	fmhe
挺多	fmhh
招遠	fmhl
擴增	fmhq
招安	fmic
招工	fmig
搪瓷	fmih
招魂	fmin
擴容	fmir
搪塞	fmis
挺身	fmis
擴寬	fmis
插在	fmiu
挺有	fmiw
招賢	fmjb
掂量	fmjf
頭痛醫頭	fmjf
插班	fmjq
頭痛醫頭腳痛醫腳	fmjw
插孔	fmke
招了	fmke
擴印	fmkf
招式	fmki
指鹿為馬	fmkr
插嘴	fmla
招聘	fmlb
括號	fmld
招風	fmlf
招呼	fmlg
招數	fmlg
招喚	fmlh
招災	fmlq
吞刀吐火	fmlq
插口	fmlv
推廣員	fmlw
撓癢癢	fmmq
插座	fmmr
天秤座	fmmr
一季度	fmms
招租	fmmw
插秧	fmmy
抽刀斷水	fmnn
插滿	fmns
豆腐渣	fmnu
擴編	fmoc
擴大	fmod
天府之國	fmod
一席之地	fmoh
招納	fmoy
插隊	fmpq
招降	fmpt
挺着	fmqw
揪着	fmqw
一廂情願	fmra
兩廂情願	fmra
挺快	fmrb
殘疾人	fmre
撰稿人	fmre
招人	fmre
插敘	fmrf
插敍	fmrf
揪心	fmri
招領	fmrk
兩重性	fmry
插花	fmse
挺難	fmsf
挺著	fmsh
揪著	fmsh
招惹	fmsi
招募	fmsj
招架	fmsl
